date,components temperature(℃),temperature(℃),air pressure(hPa),humidity(%),total radiation(W/m2),direct radiation(W/m2),diffuse radiation(W/m2),load(mw)
2019-01-02 16:30:00,8.555,-4.64,926.043,44.602,322.025,289.98,152.2,21.932867
2019-01-02 16:45:00,1.495,-4.557,926.047,46.456,274.35,247.05,128.08,17.988535
2019-01-02 17:00:00,0.33,-4.76,926.052,47.145,221.575,199.192,102.68,10.808067
2019-01-02 17:15:00,-1.97,-4.916,926.053,47.934,179.05,161.145,82.6133,6.143
2019-01-02 17:30:00,-4.0825,-4.881,926.054,48.351,133.9,120.51,62.9333,3.5578
2019-01-02 17:45:00,-8.165,-5.244,926.052,48.502,79.025,71.1225,38.3867,1.734533
2019-01-02 18:00:00,-11.6125,-5.601,926.052,49.196,28.6,25.74,15.48,0.221667
2019-01-02 18:15:00,-14.16,-6.102,926.051,50.238,0,0,5.22667,0
2019-01-02 18:30:00,-15.3725,-6.461,926.053,51.015,0,0,0,0
2019-01-02 18:45:00,-16.3075,-6.976,926.074,52.278,0,0,0,0
2019-01-02 19:00:00,-17.575,-7.397,926.074,53.513,0,0,0,0
2019-01-02 19:15:00,-18.3575,-8.976,926.073,47.876,0,0,0,0
2019-01-02 19:30:00,-19.25,-8.864,926.075,50.26,0,0,0,0
2019-01-02 19:45:00,-19.65,-8.629,926.076,52.205,0,0,0,0
2019-01-02 20:00:00,-19.865,-9.224,926.074,53.316,0,0,0,0
2019-01-02 20:15:00,-20.0525,-9.632,926.074,52.832,0,0,0,0
2019-01-02 20:30:00,-20.735,-9.667,926.075,52.223,0,0,0,0
2019-01-02 20:45:00,-21.165,-10.047,926.076,59.535,0,0,0,0
2019-01-02 21:00:00,-21.55,-10.163,926.076,61.45,0,0,0,0
2019-01-02 21:15:00,-21.8725,-10.088,926.074,59.476,0,0,0,0
2019-01-02 21:30:00,-22.1275,-11.287,926.074,54.301,0,0,0,0
2019-01-02 21:45:00,-22.88,-11.596,926.074,52.142,0,0,0,0
2019-01-02 22:00:00,-22.8,-11.963,926.075,55.169,0,0,0,0
2019-01-02 22:15:00,-22.7375,-12.257,926.076,53.426,0,0,0,0
2019-01-02 22:30:00,-22.88,-12.426,926.075,52.203,0,0,0,0
2019-01-02 22:45:00,-23.24,-12.81,926.076,52.813,0,0,0,0
2019-01-02 23:00:00,-23.39,-13.191,926.077,53.646,0,0,0,0
2019-01-02 23:15:00,-23.7,-13.169,926.075,55.556,0,0,0,0
2019-01-02 23:30:00,-23.715,-13.186,926.077,55.79,0,0,0,0
2019-01-02 23:45:00,-23.7,-13.37,926.076,54.238,0,0,0,0
2019-01-03 00:00:00,-23.995,-14.192,926.077,56.543,0,0,0,0
2019-01-03 00:15:00,-24.715,-14.837,926.076,60.386,0,0,0,0
2019-01-03 00:30:00,-24.8925,-15.259,926.077,64.72,0,0,0,0
2019-01-03 00:45:00,-24.7925,-14.245,926.076,61.873,0,0,0,0
2019-01-03 01:00:00,-24.8425,-13.297,926.075,57.373,0,0,0,0
2019-01-03 01:15:00,-25.35,-14.351,926.078,59.395,0,0,0,0
2019-01-03 01:30:00,-25.65,-16.194,926.077,65.149,0,0,0,0
2019-01-03 01:45:00,-25.88,-16.118,926.075,64.026,0,0,0,0
2019-01-03 02:00:00,-26.2575,-16.646,926.077,65.163,0,0,0,0
2019-01-03 02:15:00,-26.035,-15.787,926.075,63.013,0,0,0,0
2019-01-03 02:30:00,-26.3525,-16.482,926.075,65.354,0,0,0,0
2019-01-03 02:45:00,-26.335,-16.214,926.077,66.349,0,0,0,0
2019-01-03 03:00:00,-26.535,-16.043,926.078,67.078,0,0,0,0
2019-01-03 03:15:00,-26.6175,-16.462,926.076,67.521,0,0,0,0
2019-01-03 03:30:00,-26.7425,-16.68,926.076,69.387,0,0,0,0
2019-01-03 03:45:00,-27.0875,-15.698,926.075,71.338,0,0,0,0
2019-01-03 04:00:00,-27.0175,-14.937,926.077,71.548,0,0,0,0
2019-01-03 04:15:00,-27.4275,-13.718,926.078,68.604,0,0,0,0
2019-01-03 04:30:00,-27.5225,-14.704,926.075,67.236,0,0,0,0
2019-01-03 04:45:00,-27.64,-15.307,926.075,69.212,0,0,0,0
2019-01-03 05:00:00,-27.7175,-15.991,926.074,70.919,0,0,0,0
2019-01-03 05:15:00,-27.9875,-16.213,926.075,71.328,0,0,0,0
2019-01-03 05:30:00,-27.91,-15.446,926.075,71.692,0,0,0,0
2019-01-03 05:45:00,-28.05,-17.138,926.073,69.362,0,0,0,0
2019-01-03 06:00:00,-28,-17.715,926.073,72.085,0,0,0,0
2019-01-03 06:15:00,-27.935,-17.381,926.074,73.258,0,0,0,0
2019-01-03 06:30:00,-27.83,-16.553,926.074,72.115,0,0,0,0
2019-01-03 06:45:00,-28.01,-16.014,926.074,70.681,0,0,0,0
2019-01-03 07:00:00,-28.4075,-15.622,926.072,70.107,0,0,0,0
2019-01-03 07:15:00,-28.1575,-15.722,926.072,69.179,0,0,0,0
2019-01-03 07:30:00,-27.595,-16.141,926.073,68.77,0,0,0,0
2019-01-03 07:45:00,-27.8975,-16.015,926.074,69.234,0,0,0,0
2019-01-03 08:00:00,-28.3525,-16.327,926.076,68.408,0,0,0,0
2019-01-03 08:15:00,-28.52,-16.568,926.076,69.122,0,0,0,0
2019-01-03 08:30:00,-28.16,-16.696,926.075,68.632,0,0,0,0
2019-01-03 08:45:00,-28.585,-16.667,926.075,68.189,0,0,0,0
2019-01-03 09:00:00,-28.6225,-17.132,926.075,66.878,0,0,0,0
2019-01-03 09:15:00,-28.3975,-15.971,926.074,64.376,0,0,0,0.101533
2019-01-03 09:30:00,-27.74,-17.308,926.066,65.678,9.8,8.82,9.20001,1.2098
2019-01-03 09:45:00,-25.995,-16.832,926.066,65.365,44.225,39.8025,19.8267,2.4956
2019-01-03 10:00:00,-22.0325,-16.802,926.066,65.499,81.275,73.1475,34.68,4.160067
2019-01-03 10:15:00,-16.2525,-15.98,926.066,64.203,127.5,114.75,57.7333,7.0046
2019-01-03 10:30:00,-10.5225,-15.432,926.061,61.194,176.375,158.738,80.1067,13.198801
2019-01-03 10:45:00,-2.34,-15.308,926.055,60.449,218.55,196.673,100.733,21.111334
2019-01-03 11:00:00,2.5875,-14.64,926.047,62.05,275.45,247.905,128,24.434002
2019-01-03 11:15:00,8.1,-14.074,926.044,60.658,295.425,265.748,138.04,28.443401
2019-01-03 11:30:00,12.2825,-12.138,926.034,56.331,360,323.64,168.067,30.426535
2019-01-03 11:45:00,10.755,-11.677,926.029,51.851,399.2,359.46,185.067,34.976536
2019-01-03 12:00:00,13.04,-10.956,926.016,51.849,474.125,426.555,219.533,37.158134
2019-01-03 12:15:00,17.2425,-9.389,926.012,48.352,503.025,452.408,231.573,39.162003
2019-01-03 12:30:00,22.2675,-9.249,926.007,46.421,535.725,482.017,87.8,40.6142
2019-01-03 12:45:00,23.1975,-9.569,926.008,49.094,567.275,510.457,83.9867,41.8124
2019-01-03 13:00:00,25.6475,-8.328,926.007,45.859,601.275,541.102,83.6666,42.779667
2019-01-03 13:15:00,28.755,-8.24,926.007,45.344,636.675,572.917,90.8533,42.43947
2019-01-03 13:30:00,26.57,-9.013,926.016,46.577,588.275,529.335,178.72,43.489468
2019-01-03 13:45:00,21.175,-9.004,926.017,47.3,612.3,551.07,303.893,43.77007
2019-01-03 14:00:00,19.6225,-8.675,926.009,47.007,620.375,558.338,303.213,43.939735
2019-01-03 14:15:00,20.33,-8.247,926.01,47.542,617.4,555.66,300.96,42.23507
2019-01-03 14:30:00,19.5675,-7.753,926.016,46.124,590.675,531.607,280.2,42.31587
